1,9,475,154,31,75,-1,-1,-1,-1
1,15,282,224,32,88,-1,-1,-1,-1
1,19,616,233,42,81,-1,-1,-1,-1
2,9,474,154,31,75,-1,-1,-1,-1
2,15,298,229,32,88,-1,-1,-1,-1
2,19,609,235,42,81,-1,-1,-1,-1
3,9,474,154,31,75,-1,-1,-1,-1
3,15,306,231,32,88,-1,-1,-1,-1
3,19,601,232,42,81,-1,-1,-1,-1
4,9,472,156,31,75,-1,-1,-1,-1
4,15,306,231,32,88,-1,-1,-1,-1
4,19,586,228,42,81,-1,-1,-1,-1
5,9,469,156,31,75,-1,-1,-1,-1
5,15,312,235,32,88,-1,-1,-1,-1
5,19,580,228,42,81,-1,-1,-1,-1
6,9,468,156,31,75,-1,-1,-1,-1
6,15,317,237,32,88,-1,-1,-1,-1
6,19,570,228,42,81,-1,-1,-1,-1
7,9,466,156,31,75,-1,-1,-1,-1
7,15,326,240,32,88,-1,-1,-1,-1
7,19,560,228,42,81,-1,-1,-1,-1
8,9,461,157,31,75,-1,-1,-1,-1
8,15,327,242,32,88,-1,-1,-1,-1
8,19,552,226,42,81,-1,-1,-1,-1
9,9,458,155,31,75,-1,-1,-1,-1
9,15,332,245,32,88,-1,-1,-1,-1
9,19,544,224,42,81,-1,-1,-1,-1
10,9,452,154,31,75,-1,-1,-1,-1
10,15,333,244,32,88,-1,-1,-1,-1
10,19,536,224,42,81,-1,-1,-1,-1
11,9,447,154,31,75,-1,-1,-1,-1
11,15,351,254,32,88,-1,-1,-1,-1
11,19,519,223,42,81,-1,-1,-1,-1
12,9,445,154,31,75,-1,-1,-1,-1
12,15,373,265,32,88,-1,-1,-1,-1
12,19,509,226,42,81,-1,-1,-1,-1
13,9,444,153,31,75,-1,-1,-1,-1
13,15,372,264,32,88,-1,-1,-1,-1
13,19,501,224,42,81,-1,-1,-1,-1
14,9,438,156,31,75,-1,-1,-1,-1
14,15,375,264,32,88,-1,-1,-1,-1
14,19,483,225,42,81,-1,-1,-1,-1
15,9,433,158,31,75,-1,-1,-1,-1
15,15,374,264,32,88,-1,-1,-1,-1
15,19,475,225,42,81,-1,-1,-1,-1
16,9,428,161,31,75,-1,-1,-1,-1
16,15,374,264,32,88,-1,-1,-1,-1
16,19,472,223,42,81,-1,-1,-1,-1
17,9,420,177,31,75,-1,-1,-1,-1
17,15,375,264,32,88,-1,-1,-1,-1
17,19,465,223,42,81,-1,-1,-1,-1
18,9,420,178,31,75,-1,-1,-1,-1
18,15,376,265,32,88,-1,-1,-1,-1
18,19,447,221,42,81,-1,-1,-1,-1
19,9,422,177,31,75,-1,-1,-1,-1
19,15,383,267,32,88,-1,-1,-1,-1
19,19,439,240,42,81,-1,-1,-1,-1
20,9,420,178,31,75,-1,-1,-1,-1
20,15,396,275,32,88,-1,-1,-1,-1
20,19,433,242,42,81,-1,-1,-1,-1
21,9,421,175,31,75,-1,-1,-1,-1
21,15,396,274,32,88,-1,-1,-1,-1
21,19,416,242,42,81,-1,-1,-1,-1
22,9,421,174,31,75,-1,-1,-1,-1
22,15,382,268,32,88,-1,-1,-1,-1
22,19,405,245,42,81,-1,-1,-1,-1
23,9,420,177,31,75,-1,-1,-1,-1
23,15,377,265,32,88,-1,-1,-1,-1
23,19,401,247,42,81,-1,-1,-1,-1
24,9,420,177,31,75,-1,-1,-1,-1
24,15,376,266,32,88,-1,-1,-1,-1
24,19,403,234,42,81,-1,-1,-1,-1
25,9,420,196,31,75,-1,-1,-1,-1
